"","instance","solver","X.nodes","cores_len","SAT_time","verdict","best_LB","solved_by","SAT_calls","interrupted_by","CPLEX_seeded","solution","CPU","CPLEX_pop_time","X.edges","iterations","inst_num.x","MEM_MB","CPLEX_time","best_UB","cores","GREEDY_time","num_obj_in_core","cores_obj","inst_num.y","wat","Dataset","inst_num"
"1","20.dtl.graph","Hybrid",13,4.723333,2.888,"OPTIMUM FOUND",NA,"LB >= UB.",2405,"",NA,5,2.905,0,30,2,261,44,0.0011,NA,300,0.001,1.0667,180,261,"","Real-World graphs",NA
"2","20.dtl.graph","Base",13,1,0.009,"OPTIMUM FOUND",NA,"LB >= UB.",3,"","",5,0.0181,0,30,1,261,36,7e-04,NA,1,0,NA,NA,261,"","Real-World graphs",NA
"3","20.dtl.graph","Base(IP)",13,1,0.0092,"OPTIMUM FOUND",NA,"LB >= UB.",3,"","seeded",5,0.0386,0,30,1,261,39,0.0177,NA,1,0,NA,NA,261,"","Real-World graphs",NA
"4","aes_24_4_keyfind_5.gaifman_4.gr","Hybrid",154,5.272542,3562.8705,"UNKNOWN",13,"",39650,"INTERRUPTED signal 15",NA,51,3588.5764,0,874,17,302,1819,1.1274,51,4913,0.0124,1.0064,23868,302,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"5","aes_24_4_keyfind_5.gaifman_4.gr","Base",154,1.153846,3576.8083,"UNKNOWN",18,"",26,"INTERRUPTED signal 15","",47,3588.4446,0,874,3,302,1453,0.0044,47,13,0,NA,NA,302,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"6","aes_24_4_keyfind_5.gaifman_4.gr","Base(IP)",154,1,141.749,"UNKNOWN",11,"",14,"INTERRUPTED signal 15","seeded",47,3586.8032,0,874,1,302,7642,105.7668,47,11,0,NA,NA,302,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"7","AhrensSzekeresGeneralizedQuadrangleGraph_3.gr","Hybrid",27,7.252667,3599.3548,"UNKNOWN",10,"",18346,"INTERRUPTED signal 15",NA,19,3599.6512,0,135,6,15,237,0.0693,19,1500,0.011,1.0345,754,15,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"8","AhrensSzekeresGeneralizedQuadrangleGraph_3.gr","Base",27,1.153846,3598.9736,"UNKNOWN",16,"",29,"INTERRUPTED signal 15","",17,3599.0315,4e-04,135,5,15,292,0.0028,17,13,0,NA,NA,15,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"9","AhrensSzekeresGeneralizedQuadrangleGraph_3.gr","Base(IP)",27,1,89.034,"UNKNOWN",8,"",12,"INTERRUPTED signal 15","seeded",23,3599.3031,0,135,1,15,1029,100.0051,23,8,0,NA,NA,15,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"10","alarm.net.graph","Hybrid",37,3.208333,2.3442,"OPTIMUM FOUND",NA,"LB >= UB.",3160,"",NA,4,2.4458,0,65,3,171,65,0.0094,NA,600,0.0038,1.0256,1404,171,"","Real-World graphs",NA
"11","alarm.net.graph","Base",37,0,0.0041,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",4,0.1566,0,65,0,171,62,0,NA,0,0,NA,NA,171,"","Real-World graphs",NA
"12","alarm.net.graph","Base(IP)",37,0,0.0043,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",4,0.1588,0,65,0,171,62,0,NA,0,0,NA,NA,171,"","Real-World graphs",NA
"13","andes.net.graph","Hybrid",223,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,626,NA,159,NA,NA,NA,NA,NA,NA,NA,159,"","Real-World graphs",NA
"14","andes.net.graph","Base",223,1.428571,3541.731,"UNKNOWN",12,"",26,"INTERRUPTED signal 15","",24,3579.3176,0.001,626,4,159,5728,0.0086,24,7,0,NA,NA,159,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"15","andes.net.graph","Base(IP)",223,1,88.4804,"UNKNOWN",5,"",6,"INTERRUPTED signal 15","seeded",73,3573.5419,0,626,1,159,23793,144.8974,73,3,0,NA,NA,159,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"16","anna.graph","Hybrid",138,4.509583,3587.2789,"UNKNOWN",10,"",19461,"INTERRUPTED signal 15",NA,13,3595.0731,0,493,9,80,1411,0.5152,13,2400,0.008,1.0071,19180,80,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"17","anna.graph","Base",138,1,21.5864,"OPTIMUM FOUND",NA,"LB >= UB.",9,"","",12,31.3402,0,493,1,80,1486,9e-04,NA,7,0,NA,NA,80,"","Real-World graphs",NA
"18","anna.graph","Base(IP)",138,1,23.1337,"OPTIMUM FOUND",NA,"LB >= UB.",9,"","seeded",12,80.3068,0,493,1,80,4056,44.4825,NA,7,0,NA,NA,80,"","Real-World graphs",NA
"19","asia.net.graph","Hybrid",8,2.698413,0.0056,"OPTIMUM FOUND",NA,"LB >= UB.",272,"",NA,2,0.0099,0,10,2,153,36,0.0017,NA,63,2e-04,1.1,70,153,"","Real-World graphs",NA
"20","asia.net.graph","Base",8,0,0,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",2,0.0021,0,10,0,153,35,0,NA,0,0,NA,NA,153,"","Real-World graphs",NA
"21","asia.net.graph","Base(IP)",8,0,0,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",2,0.0023,0,10,0,153,35,0,NA,0,0,NA,NA,153,"","Real-World graphs",NA
"22","atco_enc2_opt2_10_21.gaifman_3.gr","Hybrid",104,6.476747,3586.6236,"UNKNOWN",14,"",49805,"INTERRUPTED signal 15",NA,42,3595.9861,0,797,17,278,688,0.9729,42,4795,0.0129,1.0094,10918,278,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"23","atco_enc2_opt2_10_21.gaifman_3.gr","Base",104,1,3593.2471,"UNKNOWN",22,"",26,"INTERRUPTED signal 15","",53,3596.7949,0,797,4,278,676,0.0039,53,18,0,NA,NA,278,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"24","atco_enc2_opt2_10_21.gaifman_3.gr","Base(IP)",104,1,51.4724,"UNKNOWN",15,"",18,"INTERRUPTED signal 15","seeded",53,3592.2444,0,797,1,278,3757,153.8775,53,15,0,NA,NA,278,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"25","b06.hg.graph","Hybrid",50,5.669583,3598.5139,"UNKNOWN",7,"",25327,"INTERRUPTED signal 15",NA,10,3599.4503,0,143,9,273,291,0.2273,10,2400,0.0246,1.0192,2548,273,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"26","b06.hg.graph","Base",50,1,1.064,"OPTIMUM FOUND",NA,"LB >= UB.",6,"","",9,1.4637,0,143,1,273,93,6e-04,NA,4,0,NA,NA,273,"","Real-World graphs",NA
"27","b06.hg.graph","Base(IP)",50,1,1.1849,"OPTIMUM FOUND",NA,"LB >= UB.",6,"","seeded",9,2.9756,0,143,1,273,248,1.2362,NA,4,0,NA,NA,273,"","Real-World graphs",NA
"28","Balaban10Cage.gr","Hybrid",70,4.814433,3597.8174,"UNKNOWN",4,"",12058,"INTERRUPTED signal 15",NA,22,3598.7559,0,105,6,20,421,0.1372,22,1455,0.0065,1.0139,4968,20,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"29","Balaban10Cage.gr","Base",70,1,3597.3545,"UNKNOWN",6,"",8,"INTERRUPTED signal 15","",28,3598.3975,0,105,2,20,382,0.0012,28,4,0,NA,NA,20,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"30","Balaban10Cage.gr","Base(IP)",70,1,101.0343,"UNKNOWN",3,"",8,"INTERRUPTED signal 15","seeded",28,3599.2192,0,105,1,20,1295,100.0126,28,3,0,NA,NA,20,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"31","BalancedTree_3_5.gr","Hybrid",364,2.009831,494.379,"OPTIMUM FOUND",NA,"concrete greedy soln.",2348,"",NA,1,554.5881,0,363,3,32,23071,0.685,NA,712,0.0027,1.0027,132858,32,"","Real-World graphs",NA
"32","BalancedTree_3_5.gr","Base",364,0,6.0586,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",1,224.6785,0,363,0,32,20262,0,NA,0,0,NA,NA,32,"","Real-World graphs",NA
"33","BalancedTree_3_5.gr","Base(IP)",364,0,5.9806,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",1,214.5727,0,363,0,32,20262,0,NA,0,0,NA,NA,32,"","Real-World graphs",NA
"34","BarbellGraph_10_5.gr","Hybrid",25,6.006275,465.5072,"OPTIMUM FOUND",NA,"LB >= UB.",51588,"",NA,9,466.6759,0,96,18,29,108,0.3439,NA,5100,0.2302,1.037,648,29,"","Real-World graphs",NA
"35","BarbellGraph_10_5.gr","Base",25,1,0.0134,"OPTIMUM FOUND",NA,"LB >= UB.",6,"","",9,0.0613,0,96,1,29,42,6e-04,NA,4,0,NA,NA,29,"","Real-World graphs",NA
"36","BarbellGraph_10_5.gr","Base(IP)",25,1,0.0129,"OPTIMUM FOUND",NA,"LB >= UB.",6,"","seeded",9,0.1971,0,96,1,29,62,0.114,NA,4,0,NA,NA,29,"","Real-World graphs",NA
"37","barley.net.graph","Hybrid",48,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,126,NA,156,NA,NA,NA,NA,NA,NA,NA,156,"","Real-World graphs",NA
"38","barley.net.graph","Base",48,1,1.3342,"OPTIMUM FOUND",NA,"LB >= UB.",5,"","",7,1.7052,0,126,1,156,89,7e-04,NA,3,0,NA,NA,156,"","Real-World graphs",NA
"39","barley.net.graph","Base(IP)",48,1,1.2641,"OPTIMUM FOUND",NA,"LB >= UB.",5,"","seeded",7,2.776,0,126,1,156,227,1.0349,NA,3,0,NA,NA,156,"","Real-World graphs",NA
"40","BidiakisCube.gr","Hybrid",12,4.236667,2.6696,"OPTIMUM FOUND",NA,"LB >= UB.",2163,"",NA,4,2.6829,0,18,2,44,41,0.0016,NA,300,0.0016,1.0714,154,44,"","Real-World graphs",NA
"41","BidiakisCube.gr","Base",12,1,0.042,"OPTIMUM FOUND",NA,"LB >= UB.",3,"","",4,0.0486,0,18,1,44,36,2e-04,NA,1,0,NA,NA,44,"","Real-World graphs",NA
"42","BidiakisCube.gr","Base(IP)",12,1,0.0424,"OPTIMUM FOUND",NA,"LB >= UB.",3,"","seeded",4,0.0729,0,18,1,44,39,0.0191,NA,1,0,NA,NA,44,"","Real-World graphs",NA
"43","BlanusaSecondSnarkGraph.gr","Hybrid",18,4.69,35.3532,"OPTIMUM FOUND",NA,"LB >= UB.",2372,"",NA,4,35.3767,0,27,2,39,61,0.0025,NA,300,0.001,1.05,340,39,"","Real-World graphs",NA
"44","BlanusaSecondSnarkGraph.gr","Base",18,1,0.0709,"OPTIMUM FOUND",NA,"LB >= UB.",3,"","",4,0.0894,0,27,1,39,38,6e-04,NA,1,0,NA,NA,39,"","Real-World graphs",NA
"45","BlanusaSecondSnarkGraph.gr","Base(IP)",18,1,0.0687,"OPTIMUM FOUND",NA,"LB >= UB.",3,"","seeded",4,0.1414,0,27,1,39,47,0.0451,NA,1,0,NA,NA,39,"","Real-World graphs",NA
"46","BrouwerHaemersGraph.gr","Hybrid",81,6.98981,3593.9249,"UNKNOWN",14,"",42018,"INTERRUPTED signal 15",NA,62,3598.3108,0,810,14,48,485,0.4184,62,3533,0.0066,1.012,6640,48,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"47","BrouwerHaemersGraph.gr","Base",81,1,3596.7381,"UNKNOWN",20,"",46,"INTERRUPTED signal 15","",65,3598.3437,9e-04,810,3,48,434,0.0029,65,16,0,NA,NA,48,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"48","BrouwerHaemersGraph.gr","Base(IP)",81,1,128.495,"UNKNOWN",12,"",15,"INTERRUPTED signal 15","seeded",68,3590.7456,0,810,1,48,1180,133.0272,68,12,0,NA,NA,48,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"49","CameronGraph.gr","Hybrid",231,5.57106,3558.5803,"UNKNOWN",9,"",10667,"INTERRUPTED signal 15",NA,186,3574.8659,0,3465,23,18,6179,4.3539,186,6586,0.0111,1.0043,53590,18,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"50","CameronGraph.gr","Base",231,1.2,3535.9149,"UNKNOWN",20,"",51,"INTERRUPTED signal 15","",194,3577.753,0.003,3465,7,18,5981,0.0132,194,15,0,NA,NA,18,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"51","CameronGraph.gr","Base(IP)",231,1,97.8003,"UNKNOWN",6,"",6,"INTERRUPTED signal 15","seeded",194,3576.063,0,3465,1,18,25100,154.8033,194,3,0,NA,NA,18,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"52","cancer.net.graph","Hybrid",5,2.25,3e-04,"OPTIMUM FOUND",NA,"LB >= UB.",40,"",NA,2,0.0025,2e-04,5,2,168,35,8e-04,NA,12,0,1.1429,28,168,"","Real-World graphs",NA
"53","cancer.net.graph","Base",5,0,0,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",2,0.0012,0,5,0,168,35,0,NA,0,0,NA,NA,168,"","Real-World graphs",NA
"54","cancer.net.graph","Base(IP)",5,0,0,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",2,9e-04,0,5,0,168,35,0,NA,0,0,NA,NA,168,"","Real-World graphs",NA
"55","child.net.graph","Hybrid",20,3.003333,0.2374,"OPTIMUM FOUND",NA,"LB >= UB.",1474,"",NA,3,0.2587,0,30,2,151,40,0.0018,NA,300,0.0016,1.0455,418,151,"","Real-World graphs",NA
"56","child.net.graph","Base",20,0,6e-04,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",3,0.0238,0,30,0,151,38,0,NA,0,0,NA,NA,151,"","Real-World graphs",NA
"57","child.net.graph","Base(IP)",20,0,6e-04,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",3,0.0254,0,30,0,151,38,0,NA,0,0,NA,NA,151,"","Real-World graphs",NA
"58","cnf-3-40-0100-730621.xml.hg.graph","Hybrid",40,7.219003,3598.9457,"UNKNOWN",11,"",17921,"INTERRUPTED signal 15",NA,27,3599.5146,0,250,6,256,263,0.1118,27,1484,0.0056,1.0238,1638,256,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"59","cnf-3-40-0100-730621.xml.hg.graph","Base",40,1.2,3598.6115,"UNKNOWN",19,"",40,"INTERRUPTED signal 15","",23,3598.7812,6e-04,250,4,256,333,0.002,23,15,0,NA,NA,256,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"60","cnf-3-40-0100-730621.xml.hg.graph","Base(IP)",40,1,101.2527,"UNKNOWN",12,"",19,"INTERRUPTED signal 15","seeded",23,3599.6487,0,250,1,256,358,100.034,23,12,0,NA,NA,256,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"61","cnf-3-80-0100-735543.xml.hg.graph","Hybrid",79,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,285,NA,239,NA,NA,NA,NA,NA,NA,NA,239,"","Real-World graphs",NA
"62","cnf-3-80-0100-735543.xml.hg.graph","Base",79,1.181818,3596.7577,"UNKNOWN",15,"",17,"INTERRUPTED signal 15","",44,3598.2191,5e-04,285,3,239,419,0.0011,44,11,0,NA,NA,239,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"63","cnf-3-80-0100-735543.xml.hg.graph","Base(IP)",79,1,76.22,"UNKNOWN",8,"",13,"INTERRUPTED signal 15","seeded",44,3595.4376,0,285,1,239,1728,125.1823,44,8,0,NA,NA,239,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"64","CompleteBipartiteGraph_25_20.gr","Hybrid",45,9.352572,3598.1942,"UNKNOWN",20,"",25021,"INTERRUPTED signal 15",NA,22,3599.3407,0,500,7,17,357,0.1413,22,1594,0.0042,1.0213,2068,17,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"65","CompleteBipartiteGraph_25_20.gr","Base",45,1,21.3931,"OPTIMUM FOUND",NA,"LB >= UB.",18,"","",20,21.6569,0,500,1,17,83,6e-04,NA,16,0,NA,NA,17,"","Real-World graphs",NA
"66","CompleteBipartiteGraph_25_20.gr","Base(IP)",45,1,20.2329,"OPTIMUM FOUND",NA,"LB >= UB.",18,"","seeded",20,21.1221,0,500,1,17,162,0.5571,NA,16,0,NA,NA,17,"","Real-World graphs",NA
"67","contiki_announcement_announcement_register.gr","Hybrid",26,2.44,1.1842,"OPTIMUM FOUND",NA,"LB >= UB.",1425,"",NA,2,1.2174,0,26,2,224,48,0.003,NA,300,0.0015,1.0357,700,224,"","Real-World graphs",NA
"68","contiki_announcement_announcement_register.gr","Base",26,0,0.0026,"OPTIMUM FOUND",NA,"disjoint phase.",2,"","",2,0.0575,0,26,0,224,46,0,NA,0,0,NA,NA,224,"","Real-World graphs",NA
"69","contiki_announcement_announcement_register.gr","Base(IP)",26,0,0.0026,"OPTIMUM FOUND",NA,"disjoint phase.",2,"","seeded",2,0.0543,0,26,0,224,46,0,NA,0,0,NA,NA,224,"","Real-World graphs",NA
"70","contiki_cfs-ram_cfs_readdir.gr","Hybrid",5,2,1e-04,"OPTIMUM FOUND",NA,"LB >= UB.",35,"",NA,1,0.001,4e-04,4,2,191,35,3e-04,NA,10,0,1.1429,28,191,"","Real-World graphs",NA
"71","contiki_cfs-ram_cfs_readdir.gr","Base",5,0,0,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",1,0.0019,0,4,0,191,35,0,NA,0,0,NA,NA,191,"","Real-World graphs",NA
"72","contiki_cfs-ram_cfs_readdir.gr","Base(IP)",5,0,0,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",1,9e-04,0,4,0,191,35,0,NA,0,0,NA,NA,191,"","Real-World graphs",NA
"73","contiki_collect-link-estimate_collect_link_estimate_new.gr","Hybrid",8,2,0.0022,"OPTIMUM FOUND",NA,"LB >= UB.",107,"",NA,1,0.0059,4e-04,7,2,187,36,3e-04,NA,28,1e-04,1.1,70,187,"","Real-World graphs",NA
"74","contiki_collect-link-estimate_collect_link_estimate_new.gr","Base",8,0,0,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",1,0.0013,0,7,0,187,35,0,NA,0,0,NA,NA,187,"","Real-World graphs",NA
"75","contiki_collect-link-estimate_collect_link_estimate_new.gr","Base(IP)",8,0,0,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",1,0.0029,0,7,0,187,35,0,NA,0,0,NA,NA,187,"","Real-World graphs",NA
"76","contiki_ctk_unfocus_widget.gr","Hybrid",21,2.67,1.3405,"OPTIMUM FOUND",NA,"LB >= UB.",1428,"",NA,2,1.3621,0,22,2,189,43,0.0025,NA,300,0.0014,1.0435,460,189,"","Real-World graphs",NA
"77","contiki_ctk_unfocus_widget.gr","Base",21,0,0.002,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",2,0.0311,0,22,0,189,40,0,NA,0,0,NA,NA,189,"","Real-World graphs",NA
"78","contiki_ctk_unfocus_widget.gr","Base(IP)",21,0,0.002,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",2,0.0308,0,22,0,189,40,0,NA,0,0,NA,NA,189,"","Real-World graphs",NA
"79","contiki_cxmac_cxmac_set_announcement_radio_txpower.gr","Hybrid",4,2,2e-04,"OPTIMUM FOUND",NA,"LB >= UB.",19,"",NA,1,0.0048,3e-04,3,2,184,35,0.0016,NA,6,0,1.1667,18,184,"","Real-World graphs",NA
"80","contiki_cxmac_cxmac_set_announcement_radio_txpower.gr","Base",4,0,0,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",1,0,0,3,0,184,35,0,NA,0,0,NA,NA,184,"","Real-World graphs",NA
"81","contiki_cxmac_cxmac_set_announcement_radio_txpower.gr","Base(IP)",4,0,0,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",1,6e-04,0,3,0,184,35,0,NA,0,0,NA,NA,184,"","Real-World graphs",NA
"82","contiki_ircc_join_channel.gr","Hybrid",70,2.923333,46.0526,"OPTIMUM FOUND",NA,"LB >= UB.",1649,"",NA,3,46.4685,0,76,2,214,227,0.0109,NA,300,6e-04,1.0139,4968,214,"","Real-World graphs",NA
"83","contiki_ircc_join_channel.gr","Base",70,1,0.8037,"OPTIMUM FOUND",NA,"LB >= UB.",3,"","",3,1.997,0,76,1,214,232,0.0018,NA,1,0,NA,NA,214,"","Real-World graphs",NA
"84","contiki_ircc_join_channel.gr","Base(IP)",70,1,0.846,"OPTIMUM FOUND",NA,"LB >= UB.",3,"","seeded",3,6.2963,0,76,1,214,607,3.8784,NA,1,0,NA,NA,214,"","Real-World graphs",NA
"85","contiki_ircc_parse_command.gr","Hybrid",15,2,0.0466,"OPTIMUM FOUND",NA,"LB >= UB.",385,"",NA,1,0.0555,0,14,2,194,38,7e-04,NA,105,5e-04,1.0588,238,194,"","Real-World graphs",NA
"86","contiki_ircc_parse_command.gr","Base",15,0,1e-04,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",1,0.0123,0,14,0,194,36,0,NA,0,0,NA,NA,194,"","Real-World graphs",NA
"87","contiki_ircc_parse_command.gr","Base(IP)",15,0,1e-04,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",1,0.0095,0,14,0,194,36,0,NA,0,0,NA,NA,194,"","Real-World graphs",NA
"88","contiki_lpp_input_packet.gr","Hybrid",173,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,185,NA,222,NA,NA,NA,NA,NA,NA,NA,222,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"89","contiki_lpp_input_packet.gr","Base",173,1,23.0716,"OPTIMUM FOUND",NA,"LB >= UB.",3,"","",3,43.1785,0,185,1,222,2457,0.0016,NA,1,0,NA,NA,222,"","Real-World graphs",NA
"90","contiki_lpp_input_packet.gr","Base(IP)",173,1,22.8033,"OPTIMUM FOUND",NA,"LB >= UB.",3,"","seeded",3,147.2875,0,185,1,222,7740,97.616,NA,1,0,NA,NA,222,"","Real-World graphs",NA
"91","contiki_mtarch_mtarch_init.gr","Hybrid",4,2,0,"OPTIMUM FOUND",NA,"LB >= UB.",19,"",NA,1,0.0012,0,3,2,206,35,2e-04,NA,6,0,1.1667,18,206,"","Real-World graphs",NA
"92","contiki_mtarch_mtarch_init.gr","Base",4,0,0,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",1,0,0,3,0,206,35,0,NA,0,0,NA,NA,206,"","Real-World graphs",NA
"93","contiki_mtarch_mtarch_init.gr","Base(IP)",4,0,0,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",1,7e-04,0,3,0,206,35,0,NA,0,0,NA,NA,206,"","Real-World graphs",NA
"94","contiki_nullradio_pending_packet.gr","Hybrid",5,2,0,"OPTIMUM FOUND",NA,"LB >= UB.",35,"",NA,1,0.0012,0,4,2,188,35,9e-04,NA,10,0,1.1429,28,188,"","Real-World graphs",NA
"95","contiki_nullradio_pending_packet.gr","Base",5,0,0,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",1,6e-04,0,4,0,188,35,0,NA,0,0,NA,NA,188,"","Real-World graphs",NA
"96","contiki_nullradio_pending_packet.gr","Base(IP)",5,0,0,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",1,0.0018,0,4,0,188,35,0,NA,0,0,NA,NA,188,"","Real-World graphs",NA
"97","contiki_nullrdc-noframer_packet_input.gr","Hybrid",7,2,6e-04,"OPTIMUM FOUND",NA,"LB >= UB.",78,"",NA,1,0.003,6e-04,6,2,208,36,0.001,NA,21,0,1.1111,54,208,"","Real-World graphs",NA
"98","contiki_nullrdc-noframer_packet_input.gr","Base",7,0,0,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",1,0.0028,0,6,0,208,35,0,NA,0,0,NA,NA,208,"","Real-World graphs",NA
"99","contiki_nullrdc-noframer_packet_input.gr","Base(IP)",7,0,1e-04,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",1,0.0024,0,6,0,208,35,0,NA,0,0,NA,NA,208,"","Real-World graphs",NA
"100","contiki_packetbuf_packetbuf_copyfrom.gr","Hybrid",20,2.323194,0.3687,"OPTIMUM FOUND",NA,"LB >= UB.",1192,"",NA,2,0.3918,0,20,2,204,40,0.0024,NA,263,0.0025,1.0455,418,204,"","Real-World graphs",NA
"101","contiki_packetbuf_packetbuf_copyfrom.gr","Base",20,0,6e-04,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",2,0.025,0,20,0,204,38,0,NA,0,0,NA,NA,204,"","Real-World graphs",NA
"102","contiki_packetbuf_packetbuf_copyfrom.gr","Base(IP)",20,0,6e-04,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",2,0.0218,0,20,0,204,38,0,NA,0,0,NA,NA,204,"","Real-World graphs",NA
"103","contiki_packetbuf_packetbuf_totlen.gr","Hybrid",10,2,0.0063,"OPTIMUM FOUND",NA,"LB >= UB.",168,"",NA,1,0.0093,0,9,2,175,36,4e-04,NA,45,1e-04,1.0833,108,175,"","Real-World graphs",NA
"104","contiki_packetbuf_packetbuf_totlen.gr","Base",10,0,1e-04,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",1,0.005,0,9,0,175,35,0,NA,0,0,NA,NA,175,"","Real-World graphs",NA
"105","contiki_packetbuf_packetbuf_totlen.gr","Base(IP)",10,0,1e-04,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",1,0.0036,0,9,0,175,35,0,NA,0,0,NA,NA,175,"","Real-World graphs",NA
"106","contiki_phase_phase_update.gr","Hybrid",78,2.673333,36.1728,"OPTIMUM FOUND",NA,"LB >= UB.",1555,"",NA,3,36.7292,0,87,2,180,277,0.0142,NA,300,6e-04,1.0125,6160,180,"","Real-World graphs",NA
"107","contiki_phase_phase_update.gr","Base",78,1,0.9766,"OPTIMUM FOUND",NA,"LB >= UB.",3,"","",3,2.6808,0,87,1,180,253,8e-04,NA,1,0,NA,NA,180,"","Real-World graphs",NA
"108","contiki_phase_phase_update.gr","Base(IP)",78,1,1.0027,"OPTIMUM FOUND",NA,"LB >= UB.",3,"","seeded",3,8.9182,0,87,1,180,832,5.6574,NA,1,0,NA,NA,180,"","Real-World graphs",NA
"109","contiki_powertrace_input_sniffer.gr","Hybrid",6,2,7e-04,"OPTIMUM FOUND",NA,"LB >= UB.",53,"",NA,1,0.003,4e-04,5,2,178,36,0.0011,NA,15,0,1.125,40,178,"","Real-World graphs",NA
"110","contiki_powertrace_input_sniffer.gr","Base",6,0,0,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",1,6e-04,0,5,0,178,35,0,NA,0,0,NA,NA,178,"","Real-World graphs",NA
"111","contiki_powertrace_input_sniffer.gr","Base(IP)",6,0,0,"OPTIMUM FOUND",NA,"Init Bounds.",1,"","",1,7e-04,0,5,0,178,35,0,NA,0,0,NA,NA,178,"","Real-World graphs",NA
"112","contiki_powertrace_powertrace_stop.gr","Hybrid",8,2,0.0022,"OPTIMUM FOUND",NA,"LB >= UB.",107,"",NA,1,0.005,5e-04,7,2,182,36,5e-04,NA,28,1e-04,1.1,70,182,"","Real-World graphs",NA
